Date,Open,High,Low,Close,Volume,OpenInt
2017-06-19,77.13,78.76,76.79,78.63,3336507,0
2017-06-20,79.04,79.34,77.25,77.28,2388683,0
2017-06-21,77.62,78.08,76.97,77.59,2132547,0
2017-06-22,78.37,78.9099,77.08,77.45,2953552,0
2017-06-23,77.48,77.53,76.55,76.79,4586115,0
2017-06-26,76.87,78.4,76.5462,77.03,2454952,0
2017-06-27,77.08,77.45,75.94,76,2768074,0
2017-06-28,76.51,77.3699,76.3,76.7,2628750,0
2017-06-29,76.82,77.48,74.97,75.44,3524737,0
2017-06-30,76.19,76.19,75.22,75.25,3448160,0
2017-07-03,75.85,76.65,75.06,75.08,2390824,0
2017-07-05,75.35,76.86,74.43,76.54,4519464,0
2017-07-06,76,78.53,75.7,77.71,4305315,0
2017-07-07,77.98,79.29,77.53,78.94,4172984,0
2017-07-10,78.49,79.12,77.77,78.26,3996771,0
2017-07-11,78.09,78.19,76.91,76.92,3515190,0
2017-07-12,78.7,80.81,78.61,80.53,5048597,0
2017-07-13,80.5,81.39,79.67,80.17,3477646,0
2017-07-14,80,80.165,79.05,79.85,2127370,0
2017-07-17,79.66,80.12,79.18,79.78,2353723,0
2017-07-18,79.3,79.68,78.2914,78.9,4096267,0
2017-07-19,76.23,76.7,73.7,74.24,15383116,0
2017-07-20,74.1,74.25,72.03,72.08,8024033,0
2017-07-21,72.19,72.43,71.34,71.57,5979799,0
2017-07-24,71.23,71.88,70.34,70.43,4220999,0
2017-07-25,71.14,71.28,69.35,69.48,4695533,0
2017-07-26,69.5,70.36,69,70.24,4435119,0
2017-07-27,69.02,69.02,66.45,68.09,7923662,0
2017-07-28,67.88,68.27,67.13,67.88,4952480,0
2017-07-31,68.48,68.65,67.57,67.68,2512242,0
2017-08-01,68.15,68.55,67.55,67.86,2766534,0
2017-08-02,68.01,68.27,66.93,67.44,3191473,0
2017-08-03,67.44,68.49,67.31,68.19,3750589,0
2017-08-04,68.37,69.31,68.18,68.91,3274498,0
2017-08-07,69.09,69.29,68.36,68.39,3093526,0
2017-08-08,68.15,68.72,67.53,67.79,2640677,0
2017-08-09,67.38,67.97,66.8,67.06,3533061,0
2017-08-10,66.82,66.96,65.11,65.24,4965297,0
2017-08-11,65.57,66.23,65.03,65.87,3512587,0
2017-08-14,66.5,67.28,66.41,66.71,3365947,0
2017-08-15,67.02,67.295,66.48,66.96,2162524,0
2017-08-16,66.77,67.44,66.77,66.92,1972325,0
2017-08-17,66.7,66.84,64.59,64.7,3898437,0
2017-08-18,64.77,65.49,64.27,64.75,3194940,0
2017-08-21,64.73,65.33,64.5,64.85,2892487,0
2017-08-22,64.92,65.32,64.18,64.7,3703193,0
2017-08-23,64.36,64.53,62.62,62.83,4917874,0
2017-08-24,63.29,63.29,61.31,61.48,4636884,0
2017-08-25,61.7,63.53,61.57,63.36,4619503,0
2017-08-28,63.21,63.24,62.37,63.15,4134285,0
2017-08-29,62.11,63.36,62.05,62.89,5212543,0
2017-08-30,62.73,62.7591,61.935,62.02,4694409,0
2017-08-31,62.49,63.04,61.89,61.96,3909149,0
2017-09-01,62.54,62.73,61.66,62.43,3915891,0
2017-09-05,62,63.08,61.1,61.1,5568355,0
2017-09-06,58.93,60.38,57.74,60.33,10882696,0
2017-09-07,60.38,60.88,58.45,58.58,6973925,0
2017-09-08,58.48,59.09,58.33,58.38,4084781,0
2017-09-11,59.06,60.675,58.825,60.46,6731975,0
2017-09-12,60.62,61.4,60.03,61.24,5369843,0
2017-09-13,61.2,61.98,60.6,61.66,4822573,0
2017-09-14,61.67,61.67,60.9,61.25,4066980,0
2017-09-15,59.8,60.24,59.13,59.8,10075793,0
2017-09-18,59.85,59.98,58.05,58.11,6512934,0
2017-09-19,58.09,58.74,57.5,57.54,5327759,0
2017-09-20,57.58,58.83,57.34,58.06,4622216,0
2017-09-21,58.18,58.945,57.7,58.53,4221632,0
2017-09-22,58.56,59.31,58.3,58.8,4278367,0
2017-09-25,58.69,59.48,58.52,59.44,4721259,0
2017-09-26,59.56,60.09,59.3,59.68,3977174,0
2017-09-27,59.99,61,59.685,60.92,4891122,0
2017-09-28,60.82,61.89,60.79,61.16,4062252,0
2017-09-29,61.22,61.49,60.76,60.88,3995370,0
2017-10-02,60.9,61.1,59.99,60.43,4459419,0
2017-10-03,60.38,64.22,60.2,64.14,6810743,0
2017-10-04,64.64,65.78,64.34,64.47,5468552,0
2017-10-05,64.36,64.58,63.72,64.32,4059781,0
2017-10-06,64.33,65.98,64.14,65.25,3974648,0
2017-10-09,64.56,65.17,64.385,64.7,2728731,0
2017-10-10,67.82,69.62,67.41,67.72,10282201,0
2017-10-11,67.8,68.76,67.14,67.4,6487288,0
2017-10-12,67.17,67.5499,66.59,66.64,3443212,0
2017-10-13,66.59,67.61,66.59,67.57,4082068,0
2017-10-16,67.64,67.71,66.73,66.95,3894379,0
2017-10-17,67.12,67.94,66.8,67.51,4592454,0
2017-10-18,67.55,68.48,67.44,67.99,5303399,0
2017-10-19,66.39,66.72,59.5613,59.78,29595051,0
2017-10-20,60,61.15,59.335,59.9,10395180,0
2017-10-23,60.04,60.07,58.87,59.1,6855603,0
2017-10-24,58.91,60.0685,58.04,59.91,8746029,0
2017-10-25,60.41,60.58,59.42,59.92,6557370,0
2017-10-26,60.26,61.33,59.47,59.95,9815581,0
2017-10-27,60.2,60.79,59.62,60.25,4893668,0
2017-10-30,59.78,59.99,58.65,59.04,5278853,0
2017-10-31,59.19,59.2,58.46,58.48,5161344,0
2017-11-01,58.2,58.935,58.11,58.64,4798398,0
2017-11-02,58.44,58.87,58.13,58.27,3871547,0
2017-11-03,58.41,59.82,58.15,59.65,4924540,0
2017-11-06,59.44,60.79,59.26,59.92,3948931,0
2017-11-07,60.01,60.01,58.64,58.71,3680286,0
2017-11-08,58.55,59.3,58.39,58.92,2650950,0
2017-11-09,58.42,58.98,57.93,58.39,3557468,0
2017-11-10,58.34,59.18,58.29,58.52,3179981,0
